epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,341.392,0.68223,0.49316,1.1229,0.95015,1,0.98028,0.89713,0.41617,0.35672,0.93959,0.000973861,0.000973861,0.000973861
44,349.759,0.61309,0.47339,1.06768,0.98811,1,0.995,0.92352,0.36975,0.28747,0.90669,0.000957358,0.000957358,0.000957358
45,358.115,0.62681,0.45634,1.09861,0.99542,1,0.995,0.92824,0.3813,0.28434,0.90496,0.000940855,0.000940855,0.000940855
46,366.522,0.62363,0.49092,1.06228,0.99794,1,0.995,0.94422,0.35251,0.26215,0.87364,0.000924352,0.000924352,0.000924352
47,375.085,0.58251,0.43766,1.07028,0.98041,1,0.99452,0.93622,0.36852,0.27427,0.89241,0.000907848,0.000907848,0.000907848
48,383.443,0.58267,0.44361,1.06278,0.99747,1,0.995,0.95005,0.35896,0.27801,0.88153,0.000891345,0.000891345,0.000891345
49,391.978,0.68986,0.46538,1.14327,0.99643,1,0.995,0.94835,0.34783,0.27847,0.86522,0.000874842,0.000874842,0.000874842
50,400.337,0.56514,0.43388,1.07965,0.99604,1,0.995,0.91952,0.40678,0.29795,0.91221,0.000858338,0.000858338,0.000858338
51,408.659,0.56629,0.48597,1.02466,0.99713,1,0.995,0.95258,0.35385,0.26172,0.88185,0.000841835,0.000841835,0.000841835
52,417.186,0.53436,0.40283,1.04492,0.98063,1,0.995,0.9576,0.34286,0.26463,0.87234,0.000825332,0.000825332,0.000825332
53,425.748,0.58573,0.47932,1.10705,0.99788,1,0.995,0.94674,0.33443,0.25373,0.86525,0.000808828,0.000808828,0.000808828
54,434.145,0.60545,0.43277,1.0594,0.99685,1,0.995,0.94722,0.34454,0.23903,0.88014,0.000792325,0.000792325,0.000792325
55,442.572,0.54265,0.4108,1.04029,0.99789,1,0.995,0.94657,0.35855,0.24655,0.88391,0.000775822,0.000775822,0.000775822
56,450.907,0.62915,0.40082,1.11659,0.99772,1,0.995,0.95573,0.33971,0.23005,0.86576,0.000759318,0.000759318,0.000759318
57,459.254,0.59845,0.42261,1.08392,0.99808,1,0.995,0.95142,0.31868,0.23426,0.84856,0.000742815,0.000742815,0.000742815
58,467.607,0.60471,0.42413,1.09452,0.99599,1,0.995,0.94371,0.34849,0.26234,0.86839,0.000726312,0.000726312,0.000726312
59,475.969,0.5672,0.41172,1.03806,0.99689,1,0.995,0.94684,0.33805,0.23985,0.86771,0.000709809,0.000709809,0.000709809
60,484.32,0.56541,0.409,1.06006,0.99783,1,0.995,0.93835,0.35043,0.23965,0.87454,0.000693305,0.000693305,0.000693305
61,492.695,0.52487,0.39161,1.04452,0.99708,1,0.995,0.94892,0.35196,0.24116,0.86896,0.000676802,0.000676802,0.000676802
62,501.039,0.54945,0.38431,1.04483,0.99764,1,0.995,0.94706,0.32806,0.22113,0.85982,0.000660299,0.000660299,0.000660299
